county_fips,countyName,stateName,beds,unoccupiedBeds
5089,Marion County,Arkansas,0,0
6079,San Luis Obispo County,California,1.373191084820957,0.7147635646632161
17111,McHenry County,Illinois,1.2185241598340733,0.3953722007972259
20131,Nemaha County,Kansas,4.82520925652388,3.840472673559823
28141,Tishomingo County,Mississippi,2.4673588979130257,2.1589390356738973
39009,Athens County,Ohio,0.8812179039168617,0.6837035461423927
48369,Parmer County,Texas,1.5206812652068125,1.21654501216545
48211,Hemphill County,Texas,4.967320261437909,4.444444444444445
1007,Bibb County,Alabama,8.035714285714286,2.544642857142857
5111,Poinsett County,Arkansas,0,0
19105,Jones County,Iowa,1.0605476282298496,0.8195140763594292
20111,Lyon County,Kansas,0.9579117523798121,0.4190863916661678
20171,Scott County,Kansas,4.492546457014498,2.858893199918317
22003,Allen Parish,Louisiana,2.9681702792423352,1.8355789884788127
27161,Waseca County,Minnesota,0.6420202236370446,0.26750842651543527
29203,Shannon County,Missouri,0,0
31039,Cuming County,Nebraska,2.796420581655481,2.237136465324385
39021,Champaign County,Ohio,0.6450946999019457,0.438664395933323
39137,Putnam County,Ohio,0,0
48113,Dallas County,Texas,2.1969298332077223,0.6774656793688006
48173,Glasscock County,Texas,0,0
48009,Archer County,Texas,0,0
29125,Maries County,Missouri,0,0
31079,Hall County,Nebraska,2.5808755498563474,1.2336260489879396
31123,Morrill County,Nebraska,1.7072129748186087,1.4938113529662826
1003,Baldwin County,Alabama,1.366834539633615,0.5045362394620726
4012,La Paz County,Arizona,1.1849464404208931,0.8531614371030429
8063,Kit Carson County,Colorado,2.6525198938992043,2.3733072734887615
18161,Union County,Indiana,0,0
20189,Stevens County,Kansas,17.269293038316242,4.677100197877316
26019,Benzie County,Michigan,2.6474398693178616,1.1828986650143638
30001,Beaverhead County,Montana,1.9140791152700978,1.382390472139515
36087,Rockland County,New York,1.667203979182978,0.42370929857688944
41055,Sherman County,Oregon,0,0
51700,Newport News city,Virginia,3.051067593743352,0.7669656153079618
56045,Weston County,Wyoming,10.04736615472944,1.4353378785704034
