county_fips,state_fips,state_name,county_name,total_population,total_female,area,population_density,hospital_beds,ventilator_capacity,icu_beds,poverty_estimate,median_household_income,gdp_per_capita,houses_density,less_than_high_school_diploma,high_school_diploma_only,some_college_or_associates_degree,bachelors_degree_or_higher,age_0_39,age_40_59,age_60_79,age_80_or_higher,total_college_population,smokers,diabetes,latitude,longitude
1059,1,Alabama,Franklin County,31363,15540,633.82,49.48250292,113,12.0,11.0,5939,39388,28.09,22.4496,23.2,36.8,27.1,12.9,53,26,18,4,0,6038,4642,34.44235334,-87.84289505
1061,1,Alabama,Geneva County,26314,13468,574.41,45.8104838,146,7.0,6.0,5537,37823,19.62,22.3708,20.9,37.2,30.8,11.1,47,28,20,4,0,5264,4447,31.09389027,-85.83572839
1063,1,Alabama,Greene County,8233,4346,647.11,12.72272102,91,4.0,4.0,2459,28524,27.99,7.8982,24.1,36.8,29.0,10.1,48,29,19,5,0,2028,1194,32.85504247,-87.95684022
1065,1,Alabama,Hale County,14726,7718,643.94,22.86859024,20,5.0,5.0,3705,34724,18.81,12.1828,16.4,42.6,26.9,14.1,50,29,18,4,0,3251,2621,32.76039258,-87.63284988
1067,1,Alabama,Henry County,17209,8909,561.75,30.63462394,0,0.0,0.0,3037,46027,19.14,16.3471,19.8,33.5,28.7,18.0,47,27,21,4,0,3172,2857,31.51148016,-85.24267944
1069,1,Alabama,Houston County,104722,54436,579.82,180.61122419999998,533,72.0,72.0,17032,47993,41.68,82.4118,14.3,31.6,33.0,21.0,53,27,18,4,5046,20159,14137,31.15197924,-85.29939599
1071,1,Alabama,Jackson County,51736,26346,1077.87,47.99836715,91,11.0,10.0,10046,41929,25.33,23.4286,17.5,40.8,27.5,14.2,49,29,20,4,25954,10326,8536,34.78144169,-85.99750489
1073,1,Alabama,Jefferson County,659300,347709,1111.28,593.2798215,3544,422.0,422.0,103604,55013,63.3,278.5617,10.3,26.8,30.6,32.4,53,27,14,4,427640,116182,85050,33.55554728,-86.89506300000002
1075,1,Alabama,Lamar County,13844,7077,604.85,22.88831942,0,0.0,0.0,2374,40936,21.25,12.2923,17.6,39.9,30.0,12.5,45,28,21,5,0,2828,2603,33.77995024,-88.09668032
1077,1,Alabama,Lauderdale County,92387,48060,667.7,138.36603259999998,321,39.0,36.0,12645,48707,26.65,68.089,12.6,36.0,27.5,23.9,50,27,18,4,68256,15388,12749,34.90171875,-87.65624729
1079,1,Alabama,Lawrence County,32957,16910,690.68,47.71674292,43,7.0,6.0,6297,43909,16.98,22.4055,21.0,41.5,25.8,11.7,48,30,18,3,0,6653,6361,34.52041498,-87.31069453
1081,1,Alabama,Lee County,163941,83302,607.54,269.84396089999996,549,15.0,20.0,30075,48937,37.75,115.8261,9.5,24.1,32.3,34.1,62,23,11,2,292450,28788,14755,32.60154883,-85.35132246
1083,1,Alabama,Limestone County,96174,48018,559.94,171.7576883,71,18.0,18.0,10633,64863,35.34,65.2373,15.7,30.3,28.5,25.5,53,29,15,2,122710,17478,13272,34.81185586,-86.98310072
1085,1,Alabama,Lowndes County,9974,5304,715.91,13.93191882,0,0.0,0.0,2474,33973,40.38,7.2970000000000015,22.5,38.6,24.8,14.1,49,29,18,4,0,2256,1386,32.1597283,-86.65158371
1087,1,Alabama,Macon County,18439,10056,608.89,30.28297394,0,0.0,0.0,5031,32495,22.95,16.8881,18.3,30.1,30.9,20.7,54,25,17,4,29456,3949,4241,32.38759944,-85.69267724
1089,1,Alabama,Madison County,366519,187445,801.59,457.23998550000016,1128,118.0,114.0,42667,63755,60.71,204.9327,8.9,20.8,28.6,41.7,52,29,14,3,177198,61649,49480,34.76327133,-86.55069633
1091,1,Alabama,Marengo County,19066,10133,976.88,19.51723856,46,4.0,5.0,4499,37733,33.65,10.6246,16.2,39.8,28.6,15.4,50,28,18,4,0,4072,3356,32.24767634,-87.78796182
1093,1,Alabama,Marion County,29763,15077,742.29,40.09618882,71,8.0,8.0,5844,37887,26.84,20.1256,20.3,34.8,31.7,13.1,46,28,21,4,0,5673,6072,34.13697363,-87.88704173
1095,1,Alabama,Marshall County,96109,48607,565.84,169.8519016,204,37.0,36.0,17341,46233,32.18,72.1335,19.1,31.1,30.5,19.2,53,26,18,3,22266,20200,11341,34.36975964,-86.30486727
1097,1,Alabama,Mobile County,413757,216680,1229.44,336.5410268,1227,270.0,246.0,84539,43598,43.13,150.2212,13.8,33.5,29.8,22.9,54,26,15,4,197812,80145,57926,30.78472347,-88.20842409
1099,1,Alabama,Monroe County,21067,11062,1025.68,20.5395445,44,9.0,8.0,4560,39556,28.74,11.1682,16.3,46.1,23.5,14.1,50,27,18,4,0,4900,3876,31.56729412,-87.36995001
1101,1,Alabama,Montgomery County,225763,119241,784.25,287.8712145,816,81.0,86.0,43567,49640,55.67,134.0924,14.4,25.5,28.0,32.1,58,26,14,4,166892,44437,31381,32.2206831,-86.20969272
1103,1,Alabama,Morgan County,119089,60407,579.34,205.5597749,109,51.0,44.0,15419,52797,41.81,90.2285,16.7,29.6,32.0,21.7,52,29,17,3,0,22455,15124,34.45500589,-86.85475946
1105,1,Alabama,Perry County,9140,4859,719.66,12.70044188,0,0.0,0.0,2943,26814,19.34,6.6392,21.9,39.4,22.9,15.7,53,24,18,4,7426,2377,1444,32.64048341,-87.29770589
1109,1,Alabama,Pike County,33338,17240,672.09,49.60347572,42,10.0,9.0,7315,37259,39.19,24.1426,19.0,33.3,24.2,23.6,59,23,14,4,157128,6869,4101,31.80396383,-85.9408295
1111,1,Alabama,Randolph County,22725,11669,580.55,39.14391525,14,3.0,3.0,4375,40546,18.95,20.8578,21.2,36.3,27.5,14.9,47,27,19,4,43554,4317,3750,33.29526734,-85.45708831
1113,1,Alabama,Russell County,57781,30036,641.14,90.12228218,35,10.0,10.0,12384,39104,25.3,43.44600000000001,16.7,32.3,34.5,16.5,55,26,14,3,15428,12591,10978,32.28725256,-85.18415324
1115,1,Alabama,St. Clair County,88690,44663,631.9,140.3544865,40,6.0,6.0,10432,57284,20.22,58.8368,15.2,36.0,32.3,16.5,53,29,16,3,0,16262,12239,33.71902176,-86.31029372
1117,1,Alabama,Shelby County,215707,111437,784.93,274.81049269999994,230,32.0,32.0,16916,75663,48.84,112.6062,7.8,20.3,29.7,42.1,55,28,14,2,25908,33567,22649,33.26879845,-86.66232561
1119,1,Alabama,Sumter County,12691,6889,903.89,14.04042527,33,7.0,6.0,4076,27859,25.16,7.6436,15.8,37.8,24.6,21.8,52,27,16,4,36078,2854,2602,32.59117397,-88.19916205
1121,1,Alabama,Talladega County,79828,41248,736.78,108.3471321,172,14.0,14.0,14825,41630,35.25,51.4536,19.0,34.9,31.8,14.3,51,29,18,3,12488,18488,13012,33.37823223,-86.16886178
1123,1,Alabama,Tallapoosa County,40497,20865,716.52,56.51900854,94,15.0,14.0,7839,42205,29.19,31.4297,19.5,32.9,29.2,18.3,46,29,20,4,15548,7362,6439,32.86698258,-85.79833053
1125,1,Alabama,Tuscaloosa County,208911,108322,1321.76,158.0551689,607,81.0,93.0,33330,52557,43.85,70.3638,11.6,29.9,28.3,30.3,60,24,12,3,421232,37338,24860,33.28726072,-87.52556818
1127,1,Alabama,Walker County,63711,32671,791.19,80.52553748,177,11.0,12.0,11231,45434,31.92,39.4861,19.1,37.1,32.2,11.6,50,28,19,4,35846,14450,9047,33.80270512,-87.30027177
1129,1,Alabama,Washington County,16378,8323,1080.21,15.16186667,20,3.0,3.0,2846,44424,48.03,7.9364,19.6,43.2,26.1,11.1,51,28,18,3,0,3405,2719,31.4092794,-88.20689944
1131,1,Alabama,Wilcox County,10627,5571,888.5,11.96060777,0,0.0,0.0,3504,25385,35.01,6.5053,23.1,40.3,24.1,12.5,51,28,18,4,0,2345,2115,31.98773215,-87.30891118
1133,1,Alabama,Winston County,23660,12005,612.98,38.59832295,59,4.0,4.0,4338,41156,27.96,22.4265,21.9,37.4,27.3,13.5,44,30,21,4,0,4649,4614,34.15030532,-87.37325922
2016,2,Alaska,Aleutians West Census Area,5723,1973,4390.28,1.3035615040000001,0,0.0,0.0,550,82633,61.42,0.4471,11.2,40.5,31.9,16.4,48,42,9,0,0,867,561,52.72541116,-110.4086433
2158,2,Alaska,Kusilvak Census Area,8303,3929,19673.0,8303.0,0,0.0,0.0,2905,32728,17.69,0.1138,22.3,53.6,19.3,4.8,72,20,7,2,0,3404,390,62.15429159999999,-163.39678830000003
2188,2,Alaska,Northwest Arctic Borough,7671,3530,35572.58,0.21564362199999998,0,0.0,0.0,1604,59337,90.09,0.0772,18.1,47.3,22.8,11.7,66,23,8,1,0,2341,828,67.04919196,-159.7503946
2198,2,Alaska,Prince of Wales-Hyder Census Area,6422,2905,3922.87,1.637066739,0,0.0,0.0,1057,49356,33.87,0.8787,9.8,37.3,35.3,17.6,48,33,16,1,0,1430,873,55.76261984,-133.0511621
2240,2,Alaska,Southeast Fairbanks Census Area,6918,3103,24768.81,0.279302881,0,0.0,0.0,918,63527,92.78,0.1577,9.8,32.6,38.5,19.1,53,32,14,2,0,1357,657,63.87692095,-143.2127643
4001,4,Arizona,Apache County,71818,36508,11197.52,6.413741614,43,32.0,29.0,26435,33652,36.62,2.9412,20.4,33.1,34.8,11.7,57,26,14,2,15968,15450,12065,35.39465006,-109.4892383
4003,4,Arizona,Cochise County,126770,62390,6165.69,20.56055364,160,19.0,22.0,18273,49164,34.88,9.9467,12.8,23.5,40.7,23.0,50,26,20,4,42270,19010,13311,31.87934684,-109.7516088
4005,4,Arizona,Coconino County,142854,72274,18618.89,7.672530425,341,64.0,61.0,20964,60187,48.29,3.5899,10.4,21.4,32.6,35.6,61,25,12,2,328766,22843,10714,35.83883429,-111.7707178
4007,4,Arizona,Gila County,53889,27245,4757.93,11.32614393,49,7.0,9.0,10804,43585,37.18,7.0894,14.7,28.6,38.2,18.5,41,28,27,5,0,9500,8245,33.80190085,-110.8132779
4009,4,Arizona,Graham County,38072,17789,4622.6,8.23605763,49,9.0,9.0,7118,50157,28.99,2.9349,14.4,29.9,40.5,15.3,61,23,13,3,54690,6676,3769,32.93166885,-109.8882178
4011,4,Arizona,Greenlee County,9483,4612,1843.13,5.145052167,0,0.0,0.0,985,65818,186.36,2.4252,11.0,36.2,40.9,11.9,58,27,14,3,0,1353,1110,33.21498827,-109.2405279
4012,4,Arizona,La Paz County,21098,10278,4499.63,4.68882997,24,6.0,6.0,4921,37350,29.1,3.6205,22.7,33.0,32.0,12.4,36,22,37,6,0,3275,2975,33.72854224,-113.9810029
4013,4,Arizona,Maricopa County,4410824,2229106,9200.14,479.4300956,7827,1191.0,1231.0,535183,65234,51.9,191.6095,12.6,22.6,32.8,32.0,56,25,14,4,3912022,603683,392563,33.34835867,-112.4918154
4015,4,Arizona,Mohave County,209550,103571,13311.08,15.74252427,512,78.0,80.0,34411,45129,24.59,8.6596,14.7,34.8,37.6,12.9,42,27,26,5,38306,40554,28499,35.70471703,-113.7577902
4017,4,Arizona,Navajo County,110445,55164,9950.42,11.09953148,113,25.0,24.0,30876,40650,32.52,5.8444,17.2,30.1,36.9,15.8,54,26,17,3,26154,22765,17009,35.3997715,-110.3218983
4019,4,Arizona,Pima County,1039073,527617,9187.04,113.1020437,2430,444.0,408.0,164927,53395,39.24,50.3698,11.7,22.5,34.0,31.9,52,27,18,4,660080,154993,87282,32.0971334,-111.7890033
4021,4,Arizona,Pinal County,447138,214221,5365.61,83.33404776,196,38.0,39.0,54399,58848,16.53,33.0175,14.6,29.7,36.8,19.0,57,24,17,3,53156,72769,57234,32.90525627,-111.3449483
4023,4,Arizona,Santa Cruz County,46511,24038,1236.92,37.60227015,25,4.0,4.0,11287,40545,36.52,14.8627,24.4,27.2,27.4,21.0,55,26,15,3,0,6777,3721,31.52508998,-110.8479088
4025,4,Arizona,Yavapai County,231993,118672,8123.5,28.55825691,304,56.0,56.0,30060,48758,28.85,14.5743,9.7,25.7,39.4,25.2,40,27,27,6,98442,39590,24823,34.59933926,-112.5538588
4027,4,Arizona,Yuma County,212128,102822,5513.99,38.47087137,405,45.0,42.0,39648,44116,37.89,16.9687,27.9,25.9,31.4,14.8,59,23,17,3,74032,28270,29910,32.76895712,-113.90666740000002
5001,5,Arkansas,Arkansas County,17769,9176,988.77,17.97081222,111,14.0,13.0,3120,43887,56.77,9.5674,17.0,38.3,29.2,15.5,48,29,18,4,0,3569,3429,34.29145151,-91.37277296
5003,5,Arkansas,Ashley County,20046,10275,925.35,21.66315448,33,7.0,6.0,3876,41127,44.21,10.9915,17.7,39.9,29.2,13.2,49,27,19,4,0,4100,3047,33.19153461,-91.7698471
5005,5,Arkansas,Baxter County,41619,21523,554.28,75.08659883,225,17.0,17.0,6216,39686,27.45,41.46100000000001,11.8,35.0,34.8,18.3,37,26,30,7,12630,6760,7075,36.28784385,-92.33782872
5007,5,Arkansas,Benton County,272608,137026,847.36,321.7145015000001,263,61.0,56.0,23290,68978,51.14,128.0282,11.9,29.1,26.5,32.4,58,25,14,4,99622,45016,24535,36.33644656,-94.25680817
5009,5,Arkansas,Boone County,37480,19037,590.23,63.50066923,113,28.0,24.0,5472,44482,30.84,28.8396,13.0,33.8,37.2,16.0,49,27,19,4,17232,7460,5435,36.3084504,-93.09374925
5011,5,Arkansas,Bradley County,10897,5591,649.23,16.78449856,32,4.0,4.0,2329,37729,30.17,8.9167,18.0,41.6,25.1,15.2,51,27,19,5,0,2372,1754,33.46755808,-92.15980837
5013,5,Arkansas,Calhoun County,5277,2615,628.58,8.395112794,0,0.0,0.0,800,44969,66.3,4.6406,17.3,43.6,27.0,12.1,44,30,20,5,9694,1088,908,33.55598792,-92.49974403
5015,5,Arkansas,Carroll County,28223,14176,630.09,44.79201384,40,8.0,8.0,4499,45023,28.27,21.8604,14.2,34.6,30.8,20.4,45,28,22,4,0,5185,2399,36.34038560000001,-93.54270261
5017,5,Arkansas,Chicot County,10438,5166,644.3,16.2005277,24,4.0,4.0,3039,31787,22.55,8.4309,19.3,39.2,26.7,14.7,48,27,18,6,0,2412,1012,33.26458973,-91.29539209
5019,5,Arkansas,Clark County,22061,11609,866.07,25.47253686,25,4.0,4.0,3838,45408,32.79,12.1722,10.8,30.5,31.0,27.6,56,24,15,4,52736,4266,3265,34.04613432,-93.17484713
5021,5,Arkansas,Clay County,14847,7592,639.47,23.21766463,24,4.0,4.0,3035,37687,20.24,12.526,19.3,41.2,27.8,11.6,47,28,22,5,0,3019,2286,36.36826212,-90.4148172
5023,5,Arkansas,Cleburne County,24965,12688,553.69,45.08840687,25,4.0,4.0,3573,44902,35.28,29.0776,15.3,40.7,29.1,14.9,42,27,24,6,0,4346,2921,35.53864922,-92.02640019
5025,5,Arkansas,Cleveland County,8018,4040,597.78,13.41296129,0,0.0,0.0,1232,47600,20.65,6.8671,11.4,47.2,25.2,16.2,51,26,20,4,0,1527,1371,33.89723187,-92.18537045
5027,5,Arkansas,Columbia County,23537,12185,766.05,30.72514849,36,7.0,6.0,4799,40909,34.68,15.2209,15.0,39.9,24.5,20.6,53,26,16,4,38764,4820,3837,33.21230701,-93.22642793
5029,5,Arkansas,Conway County,20891,10631,552.25,37.82888185,25,4.0,4.0,3693,44565,46.04,17.8361,14.1,43.4,26.5,16.0,51,28,18,4,18474,3969,3865,35.26205537,-92.70506566
5031,5,Arkansas,Craighead County,108558,55828,707.21,153.5017887,614,75.0,74.0,18768,45615,38.14,65.4049,10.9,34.1,28.7,26.3,59,23,14,4,114556,22540,15090,35.83018283,-90.63235729
5033,5,Arkansas,Crawford County,63406,32148,593.09,106.9078892,39,9.0,8.0,10027,47363,25.09,45.4855,14.8,37.4,32.4,15.3,54,28,16,3,0,12050,9511,35.58928601,-94.2446814
5035,5,Arkansas,Crittenden County,48342,25331,609.76,79.28037261,0,0.0,0.0,9056,42606,30.23,35.7879,17.6,35.0,29.4,18.0,57,26,14,2,12144,11269,9475,35.21247318,-90.30839406
5037,5,Arkansas,Cross County,16676,8632,616.38,27.05473896,15,3.0,3.0,2940,41214,25.94,12.9806,17.2,41.5,25.8,15.4,50,27,19,4,0,3417,2818,35.29631396,-90.77185818
5039,5,Arkansas,Dallas County,7182,3633,667.39,10.76132396,24,4.0,4.0,1442,37259,25.88,6.47,16.4,43.4,26.6,13.7,48,29,20,5,0,1380,553,33.97042763,-92.65167437
5041,5,Arkansas,Desha County,11512,6075,768.15,14.98665625,50,8.0,8.0,2780,36132,41.9,8.2067,21.2,44.0,22.4,12.4,53,28,18,4,0,2792,1589,33.83011025,-91.25500948
5043,5,Arkansas,Drew County,18328,9373,828.36,22.12564585,49,5.0,5.0,3391,42494,31.06,10.4109,14.9,35.4,29.1,20.6,53,26,16,4,28908,3818,3556,33.59035001,-91.71777921
5045,5,Arkansas,Faulkner County,124806,63814,647.88,192.63752549999998,260,26.0,25.0,18571,53882,30.09,77.9805,8.7,30.5,30.7,30.0,63,24,12,2,126728,25629,11981,35.14719007,-92.33717519
5047,5,Arkansas,Franklin County,17810,8902,608.86,29.25138784,25,4.0,4.0,3202,43696,26.99,13.2806,17.4,40.1,30.7,11.8,51,27,18,4,0,3767,2333,35.51202821,-93.89299569
5049,5,Arkansas,Fulton County,12269,6248,618.19,19.84664909,24,4.0,4.0,2481,35630,15.47,11.0694,15.4,37.2,35.6,11.8,42,29,25,6,0,2455,1705,36.38177105,-91.81729127
5051,5,Arkansas,Garland County,99154,51494,677.78,146.29230719999995,422,45.0,48.0,19844,43610,31.05,75.28399999999998,11.6,31.5,36.7,20.2,45,27,22,6,20606,19252,14972,34.57692074,-93.14921604
5053,5,Arkansas,Grant County,18188,9203,631.81,28.78713537,0,0.0,0.0,2353,52050,21.59,12.7348,8.5,44.2,29.0,18.3,52,28,18,3,0,3314,3019,34.29017991,-92.42320562
5055,5,Arkansas,Greene County,45325,23036,577.7,78.45767699,124,7.0,8.0,7361,46512,30.09,33.1764,12.7,44.2,27.2,15.9,53,28,17,4,2090,8894,6617,36.11735460000001,-90.55832668
5057,5,Arkansas,Hempstead County,21741,11259,727.52,29.88371454,78,9.0,8.0,4424,38682,39.84,14.4862,19.0,36.9,28.9,15.1,53,26,18,4,16080,4821,4000,33.73325583,-93.66935133
5059,5,Arkansas,Hot Spring County,33701,16058,615.2,54.78055917,72,7.0,6.0,5844,47205,25.76,23.5078,14.6,39.6,31.1,14.7,49,27,18,4,10702,6853,5999,34.31709259,-92.95396325
5061,5,Arkansas,Howard County,13341,6924,588.55,22.66757285,20,6.0,6.0,2271,40199,44.63,10.6601,17.1,37.3,30.8,14.7,52,27,17,4,0,2916,1721,34.09007427,-93.9934871
5063,5,Arkansas,Independence County,37678,19307,763.95,49.31998167,210,11.0,12.0,5302,45596,44.83,21.7174,14.2,35.8,31.0,18.9,52,26,18,4,19582,7487,5200,35.74242707,-91.57001641
5065,5,Arkansas,Izard County,13593,6543,580.58,23.41279410000001,19,4.0,4.0,2358,37828,20.15,12.5685,14.9,37.8,33.5,13.8,41,27,25,6,10368,2673,1781,36.09604046,-91.90847954
5067,5,Arkansas,Jackson County,16811,8463,633.94,26.51828249,0,0.0,0.0,3732,36573,30.67,11.968,21.1,41.1,27.7,10.2,51,30,18,4,20314,3715,4001,35.59802983,-91.21494602
5069,5,Arkansas,Jefferson County,68114,34452,870.75,78.22451909,258,35.0,34.0,13900,38596,41.42,38.3428,14.0,38.5,29.7,17.8,54,28,15,4,39650,14530,10830,34.26767081,-91.92619839
5071,5,Arkansas,Johnson County,26742,13478,659.8,40.53046378,89,8.0,8.0,5761,39381,26.56,17.4932,20.6,41.2,22.3,15.8,55,26,17,4,9000,5550,3450,35.56759135,-93.46036368
5073,5,Arkansas,Lafayette County,6682,3399,528.27,12.64883488,0,0.0,0.0,1498,35527,25.23,8.3101,18.3,41.3,24.0,16.5,46,29,21,4,0,1346,1938,33.24116713,-93.60677071
5075,5,Arkansas,Lawrence County,16434,8322,587.61,27.96752948,175,4.0,4.0,2776,40308,26.64,13.6298,14.5,40.4,30.1,15.0,48,26,19,5,5210,3187,1528,36.04188196,-91.10867198
5077,5,Arkansas,Lee County,8985,3936,602.62,14.90989347,0,0.0,0.0,3098,28080,18.95,7.2434,27.0,40.8,23.3,8.9,51,28,17,4,0,2226,1474,34.78498904,-90.78383866
5079,5,Arkansas,Lincoln County,13383,5110,561.52,23.83352329,0,0.0,0.0,2647,44951,19.07,8.8047,18.7,50.3,22.1,8.9,54,29,14,4,0,3007,2074,33.95317155,-91.74002806
5081,5,Arkansas,Little River County,12326,6390,532.25,23.15829028,24,4.0,4.0,1942,43559,30.51,12.263,11.8,42.7,34.0,11.4,48,27,20,4,0,2596,2564,33.70375665,-94.23468591
5083,5,Arkansas,Logan County,21737,10885,708.13,30.69634107,41,7.0,7.0,3950,41471,27.62,14.3914,14.9,45.0,28.0,12.1,49,28,18,4,0,4434,3913,35.21413234,-93.71951016
5085,5,Arkansas,Lonoke County,73657,37355,770.73,95.56783828,0,0.0,0.0,8651,56651,16.05,38.6063,11.3,35.1,33.3,20.3,57,28,14,2,0,13690,9428,34.75392199,-91.88742357
5087,5,Arkansas,Madison County,16481,8252,834.26,19.75523218,0,0.0,0.0,3002,42674,25.62,9.0931,20.3,45.6,21.6,12.5,48,30,18,4,0,3430,1994,36.01038185,-93.72524943
5089,5,Arkansas,Marion County,16722,8513,597.01,28.00958108,0,0.0,0.0,3082,36581,30.07,15.9646,13.1,36.8,32.8,17.2,37,30,28,5,0,3331,2843,36.26844485,-92.68451899
